idx,price,condition,district,max_floor,street,num_rooms,region,area,url,num_bathrooms,building_type,floor,ceiling_height
0,65000.0,good,Center,9,Vardanants St,3,Yerevan,80.0,http://www.myrealty.am/en/item/24032/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,4,2.8
1,140000.0,newly repaired,Arabkir,10,Hr.Kochar St,4,Yerevan,115.0,http://www.myrealty.am/en/item/17599/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,2,3.0
2,97000.0,newly repaired,Center,10,Teryan St,2,Yerevan,72.0,http://www.myrealty.am/en/item/29472/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,3,2.8
3,47000.0,good,Center,9,D. Demirchyan St,1,Yerevan,43.0,http://www.myrealty.am/en/item/37186/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
4,51000.0,newly repaired,Center,14,Sayat Nova Ave,1,Yerevan,33.0,http://www.myrealty.am/en/item/37184/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,4,2.8
5,44900.0,good,Center,9,Zavaryan St,3,Yerevan,71.0,http://www.myrealty.am/en/item/38221/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
7,67000.0,newly repaired,Arabkir,5,Komitas Ave,2,Yerevan,60.0,http://www.myrealty.am/en/item/29648/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,5,3.0
8,143000.0,newly repaired,Center,9,Sayat Nova Ave,4,Yerevan,98.0,http://www.myrealty.am/en/item/34641/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
9,27000.0,newly repaired,Shengavit,3,Garegin Nzhdeh Ave,2,Yerevan,48.0,http://www.myrealty.am/en/item/37192/2-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,1,2.8
12,34500.0,good,Avan,14,Charents disrtict,2,Yerevan,94.0,http://www.myrealty.am/en/item/31423/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,13,2.8
13,38700.0,newly repaired,Malatia-Sebastia,14,Svachyan str,2,Yerevan,66.0,http://www.myrealty.am/en/item/38231/2-senyakanoc-bnakaran-vacharq-Yerevan-Malatia-Sebastia,1,panel,4,2.8
14,150000.0,newly repaired,Qanaqer-Zeytun,10,Nersisyan St,4,Yerevan,120.0,http://www.myrealty.am/en/item/17244/4-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,2,monolit,8,3.0
15,161000.0,zero condition,Center,14,Aram St,3,Yerevan,115.0,http://www.myrealty.am/en/item/1592/apartment-for-sale-in-Yerevan,1,monolit,8,3.0
16,49000.0,good,Arabkir,9,Babayan St,2,Yerevan,67.0,http://www.myrealty.am/en/item/24087/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,5,2.8
17,110000.0,newly repaired,Arabkir,7,A. Khachatrian St,3,Yerevan,85.0,http://www.myrealty.am/en/item/22267/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,3,2.8
18,42000.0,newly repaired,Arabkir,5,Orbeli Yeghbayrner   St,1,Yerevan,45.0,http://www.myrealty.am/en/item/13527/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,5,3.0
19,60000.0,newly repaired,Center,10,Kajaznuni St,3,Yerevan,98.0,http://www.myrealty.am/en/item/14158/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,1,2.8
20,115000.0,newly repaired,Arabkir,10,Hambardzumyan St,3,Yerevan,69.0,http://www.myrealty.am/en/item/15367/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,7,3.0
21,34000.0,good,Nor Norq,5,Gyuliqevxyan St,2,Yerevan,66.0,http://www.myrealty.am/en/item/13888/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,1,2.8
22,45000.0,good,Achapnyak,9,Shiraz St,3,Yerevan,91.0,http://www.myrealty.am/en/item/38176/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,3,2.8
23,87000.0,newly repaired,Arabkir,10,Baghramyan av(Arabkir),3,Yerevan,92.0,http://www.myrealty.am/en/item/38193/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,7,2.8
24,90000.0,good,Arabkir,5,Kievyan St,3,Yerevan,92.0,http://www.myrealty.am/en/item/15114/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,2.8
25,33000.0,zero condition,Shengavit,9,Sharur St,3,Yerevan,74.0,http://www.myrealty.am/en/item/5194/apartment-for-sale-in-Yerevan,1,panel,6,2.8
27,80000.0,newly repaired,Davtashen,19,Sasna tsrer St,2,Yerevan,65.0,http://www.myrealty.am/en/item/37145/2-senyakanoc-bnakaran-vacharq-Yerevan-Davtashen,1,other,15,2.8
28,150000.0,newly repaired,Center,9,Baghramyan Ave  1 blind end,2,Yerevan,62.0,http://www.myrealty.am/en/item/450/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,5,3.0
29,36000.0,newly repaired,Achapnyak,5,Hasratyan st.,2,Yerevan,58.0,http://www.myrealty.am/en/item/38194/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,stone,4,2.8
30,75000.0,newly repaired,Davtashen,15,Sasna tsrer St,3,Yerevan,40.0,http://www.myrealty.am/en/item/930/apartment-for-sale-in-Yerevan,1,other,13,2.8
31,28500.0,good,Achapnyak,16,16 District,3,Yerevan,82.0,http://www.myrealty.am/en/item/38195/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,2,2.8
32,35000.0,newly repaired,Achapnyak,12,Mazmanyan St,2,Yerevan,55.0,http://www.myrealty.am/en/item/38197/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,monolit,11,2.8
33,59000.0,newly repaired,Center,9,Hanrapetutyan St,2,Yerevan,41.0,http://www.myrealty.am/en/item/37210/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,3,2.8
36,175000.0,newly repaired,Center,12,Mashtots Ave,3,Yerevan,85.0,http://www.myrealty.am/en/item/18091/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,6,3.0
37,75000.0,newly repaired,Arabkir,7,Hr.Kochar St,2,Yerevan,62.0,http://www.myrealty.am/en/item/36290/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,6,3.0
39,55000.0,newly repaired,Center,10,Pushkin St,2,Yerevan,40.0,http://www.myrealty.am/en/item/37206/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
40,100000.0,newly repaired,Qanaqer-Zeytun,10,Rubinyants St,4,Yerevan,104.0,http://www.myrealty.am/en/item/31923/4-senyakanoc-bnakaran-vacharq-Yerevan-Qanaqer-Zeytun,1,monolit,2,2.8
42,73000.0,newly repaired,Arabkir,15,Mamikoniants St,3,Yerevan,71.0,http://www.myrealty.am/en/item/12174/Apartment-for-sale-in-Yerevan,1,monolit,7,3.0
44,93000.0,newly repaired,Arabkir,11,Hr.Kochar St,3,Yerevan,83.0,http://www.myrealty.am/en/item/24533/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,monolit,6,3.0
45,38000.0,newly repaired,Avan,9,Tumanyan district,2,Yerevan,67.0,http://www.myrealty.am/en/item/31919/2-senyakanoc-bnakaran-vacharq-Yerevan-Avan,1,panel,5,2.8
50,110000.0,newly repaired,Center,14,Agatangeghos St,3,Yerevan,90.0,http://www.myrealty.am/en/item/20358/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,5,3.0
55,36000.0,good,Center,4,Tigran Mets Ave,1,Yerevan,43.0,http://www.myrealty.am/en/item/18098/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,4,3.2
56,37000.0,good,Nor Norq,12,Gayi Ave,2,Yerevan,63.0,http://www.myrealty.am/en/item/10081/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,12,2.8
57,38000.0,good,Nor Norq,5,D. Malyan St,3,Yerevan,74.0,http://www.myrealty.am/en/item/29909/3-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,stone,3,2.8
58,29000.0,newly repaired,Center,5,Koryun St,1,Yerevan,33.0,http://www.myrealty.am/en/item/33628/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,1,2.8
59,150000.0,newly repaired,Center,6,Teryan St,3,Yerevan,120.0,http://www.myrealty.am/en/item/35010/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,other,4,2.8
60,42000.0,good,Achapnyak,15,Mazmanyan St,3,Yerevan,104.0,http://www.myrealty.am/en/item/32789/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,4,2.8
61,85000.0,good,Arabkir,5,Vratsakan St,3,Yerevan,121.0,http://www.myrealty.am/en/item/6935/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,5,2.8
62,42000.0,good,Nor Norq,5,Gyuliqevxyan St,2,Yerevan,52.0,http://www.myrealty.am/en/item/7325/2-senyakanoc-bnakaran-vacharq-Yerevan-Nor%20Norq,1,panel,4,2.8
63,30000.0,good,Shengavit,5,Arshakunyats Ave,2,Yerevan,57.0,http://www.myrealty.am/en/item/34550/2-senyakanoc-bnakaran-vacharq-Yerevan-Shengavit,1,stone,1,2.8
64,130000.0,good,Center,5,Sayat Nova Ave,3,Yerevan,106.0,http://www.myrealty.am/en/item/20513/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.0
66,120000.0,good,Center,5,A.Manukyan St,4,Yerevan,100.0,http://www.myrealty.am/en/item/25293/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.0
67,105000.0,newly repaired,Center,2,Hanrapetutyan St,3,Yerevan,80.0,http://www.myrealty.am/en/item/27986/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.2
68,42000.0,newly repaired,Achapnyak,9,Nazarbekyan district,3,Yerevan,96.0,http://www.myrealty.am/en/item/32220/3-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,panel,4,2.8
69,260000.0,newly repaired,Center,21,Sayat Nova Ave,3,Yerevan,140.0,http://www.myrealty.am/en/item/33129/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,other,15,2.8
70,160000.0,good,Center,5,Nalbandyan St,3,Yerevan,108.0,http://www.myrealty.am/en/item/13909/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.0
71,41000.0,newly repaired,Achapnyak,9,Mazmanyan St,2,Yerevan,55.0,http://www.myrealty.am/en/item/15105/2-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,other,7,2.8
72,55000.0,newly repaired,Center,6,Aygestan St,1,Yerevan,61.0,http://www.myrealty.am/en/item/13704/1-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,1,3.0
73,65000.0,newly repaired,Center,11,Agatangeghos St,3,Yerevan,87.0,http://www.myrealty.am/en/item/38220/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,3,2.8
74,55000.0,newly repaired,Arabkir,16,Arabkir 51 St,3,Yerevan,78.0,http://www.myrealty.am/en/item/28349/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,16,2.8
77,43000.0,good,Arabkir,5,Komitas Ave,1,Yerevan,35.0,http://www.myrealty.am/en/item/6934/1-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,2.8
100,550000.0,newly repaired,Center,8,Northern Ave,3,Yerevan,140.0,http://www.myrealty.am/en/item/30495/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,2,other,6,3.0
102,550000.0,newly repaired,Center,8,Northern Ave,3,Yerevan,140.0,http://www.myrealty.am/en/item/30570/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,6,3.0
106,360000.0,zero condition,Center,10,Northern Ave,4,Yerevan,146.0,http://www.myrealty.am/en/item/30244/4-senyakanoc-bnakaran-vacharq-Yerevan-Center,3,other,6,3.0
107,93000.0,newly repaired,Achapnyak,13,Shinararner St,4,Yerevan,111.0,http://www.myrealty.am/en/item/35708/4-senyakanoc-bnakaran-vacharq-Yerevan-Achapnyak,1,other,10,2.8
109,95000.0,zero condition,Center,14,Tsitsernakaberd Highway,3,Yerevan,119.0,http://www.myrealty.am/en/item/30231/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,other,6,3.0
110,65000.0,newly repaired,Arabkir,9,A. Khachatrian St,2,Yerevan,67.0,http://www.myrealty.am/en/item/20836/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,4,2.8
111,115000.0,newly repaired,Center,5,Zakyan St,3,Yerevan,80.0,http://www.myrealty.am/en/item/29019/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,2.8
112,117000.0,good,Center,6,Abovyan St,3,Yerevan,110.0,http://www.myrealty.am/en/item/27207/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,1,2.8
